configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,9,4,3-2-1-7-5-4-8-6-0,1-2-3-4-5-6-7-8-0,10,0,3914,True,False,3552.0,22
temple_actividad_sin_tope,10,4,3-5-4-6-2-7-8-0-1,1-2-3-4-8-6-5-7-0,17,4,17401,False,False,,27
temple_actividad_sin_tope,11,4,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,7055,True,False,5856.0,16
temple_actividad_sin_tope,12,4,4-1-5-2-6-3-0-7-8,1-2-6-4-3-5-7-8-0,10,4,17401,False,False,,18
temple_actividad_sin_tope,13,4,4-1-8-3-5-7-2-6-0,1-2-0-4-5-6-7-3-8,16,4,17401,False,False,,24
temple_actividad_sin_tope,14,4,4-3-2-1-0-6-7-5-8,0-2-3-4-1-6-7-8-5,6,4,17401,False,False,,18
temple_actividad_sin_tope,15,4,4-3-7-6-2-5-0-1-8,1-2-3-4-5-6-7-8-0,14,0,8100,True,False,6428.0,26
temple_actividad_sin_tope,16,4,4-5-0-1-2-7-8-3-6,1-2-3-4-5-6-7-8-0,12,0,7650,True,False,6228.0,22
temple_actividad_sin_tope,17,4,5-1-2-6-4-7-3-0-8,1-5-2-4-0-3-7-8-6,15,4,17401,False,False,,23
temple_actividad_sin_tope,18,4,5-1-7-8-6-3-2-4-0,1-2-3-4-5-6-7-8-0,16,0,7397,True,False,6102.0,24
temple_actividad_sin_tope,19,4,6-0-1-8-4-7-3-2-5,1-2-3-4-5-6-7-8-0,19,0,6237,True,False,5313.0,27
temple_actividad_sin_tope,20,4,6-3-7-5-1-4-8-2-0,1-2-3-4-5-6-7-8-0,16,0,8923,True,False,6678.0,24
temple_actividad_sin_tope,21,4,6-8-2-3-1-5-4-0-7,1-2-3-4-5-6-7-8-0,15,0,7313,True,False,5993.0,21
temple_actividad_sin_tope,22,4,7-0-8-6-3-2-1-4-5,1-2-3-4-5-6-7-8-0,17,0,10286,True,False,7163.0,23
temple_actividad_sin_tope,23,4,7-1-8-2-0-3-5-4-6,1-2-0-5-4-6-7-8-3,14,4,17401,False,False,,22
temple_actividad_sin_tope,24,4,7-3-2-1-0-6-8-5-4,1-2-3-4-5-6-7-8-0,10,0,7702,True,False,6228.0,22
temple_actividad_sin_tope,25,4,7-8-3-4-1-2-0-5-6,1-2-3-4-5-6-7-8-0,10,0,4355,True,False,3924.0,22
temple_actividad_sin_tope,26,4,8-1-2-3-6-0-7-5-4,1-2-3-4-5-6-7-8-0,13,0,5989,True,False,5101.0,23
temple_actividad_sin_tope,27,4,8-1-7-3-0-2-6-5-4,1-2-3-4-5-6-7-8-0,20,0,7231,True,False,5920.0,22
temple_actividad_sin_tope,28,4,8-4-1-3-5-7-0-2-6,1-2-3-4-5-6-7-8-0,16,0,7659,True,False,6162.0,26
temple_actividad_sin_tope,29,4,8-6-4-5-0-3-7-1-2,1-2-3-4-5-0-7-8-6,16,1,17401,False,False,,26
temple_actividad_sin_tope,0,5,0-1-6-3-4-7-8-2-5,1-2-3-4-5-6-7-8-0,14,0,8041,True,False,6392.0,22
temple_actividad_sin_tope,1,5,0-6-7-8-4-3-1-2-5,1-2-3-4-5-6-7-8-0,16,0,6646,True,False,5542.0,28
temple_actividad_sin_tope,2,5,1-0-3-2-7-4-8-5-6,1-2-3-4-5-6-7-8-0,9,0,7310,True,False,6001.0,21
temple_actividad_sin_tope,3,5,1-6-8-3-5-0-4-7-2,1-2-3-4-5-6-7-8-0,13,0,5254,True,False,4635.0,17
temple_actividad_sin_tope,4,5,1-7-4-8-2-3-0-6-5,1-2-3-4-5-6-7-8-0,14,0,9149,True,False,6814.0,20
temple_actividad_sin_tope,5,5,2-3-1-7-4-5-8-6-0,1-2-3-4-5-6-7-8-0,10,0,7042,True,False,5864.0,16
temple_actividad_sin_tope,6,5,2-7-1-6-4-8-0-3-5,1-0-3-4-5-6-7-8-2,16,3,17401,False,False,,26
temple_actividad_sin_tope,7,5,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,2973,True,False,2708.0,22
